"","SERIALNO","PUMA","ST","WGTP","state","residence","family_structure","child1_age","child2_age","child3_age","child4_age","child5_age","parent1_age","parent2_age","disability_parent1","disability_parent2","disability_child1","disability_child2","disability_child3","disability_child4","disability_child5","cs_flag","breastfeeding","nontraditionalwork","immigration","parent1_max_work","maxshiftlength_parent1","maxworkweek_parent1","backtobackshifts_parent1","weekenddaysworked","parent1_first_max","backtobackshifts_parent2","workdaystart","user_trans_type","savings","vehicle1_value","vehicle2_value","vehicle1_owed","vehicle2_owed","debt_payment","privateplan_type","hlth_amt_parent_m","hlth_amt_family_m","hlth_costs_oop_m","userplantype","disability_medical_expenses_mnth","housing_override","housing_override_amt","home_type","fuel_source","energy_cost_override","energy_cost_override_amt","food_override","trans_override","trans_override_parent1_amt","trans_override_parent2_amt","other_override","disability_personal_expenses_m","disability_flag","fosterchild_flag","noncitizen_flag","felony_conviction_flag","parent2_max_work","maxshiftlength_parent2","maxworkweek_parent2","child1_foster_status","child2_foster_status","child3_foster_status","child4_foster_status","child5_foster_status","child1_immigration_status","child2_immigration_status","child3_immigration_status","child4_immigration_status","child5_immigration_status","itin","other_parent_timeoff_for_newborn","mother_timeoff_for_newborn","state_mctr","fli","tdi","baseline","compare_flag","snap_training","fullday_prek","fullday_k","recent_tanf_exit_flag","tanfwork"
"3852","2019HU0769138","01402","34",32,"New Jersey","Essex County (South Central)--East Orange City","two-parent",9,11,13,-1,-1,49,47,"0","0","0","0","0","-9","-9",0,1,0,0,60,12,52,1.2,2,-2.25,0.8,"6:55","04",5675,25299,25318,16175,17653,13733,"employer",0,0,1161,"employer",0,"1",3200,"house","1",1,360,594,"0","0","0",594,0,NA,NA,NA,NA,55,11,52,"0","0","0","-9","-9","1","1","1","-9","-9",NA,1.1,10.2,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3853","2019HU0769310","02002","34",68,"New Jersey","Burlington County (West Central)","two-parent",0,-1,-1,-1,-1,35,32,"0","0","0","-9","-9","-9","-9",0,1,0,0,50,10,52,0.4,1.25,-0.83,0.6,"7:35","01",6909,23459,0,16107,0,7494,"employer",0,0,1178,"employer",0,"1",3300,"house","1",1,170,606,"0","0","0",710,0,NA,NA,NA,NA,32,6,52,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,1.3,10,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3854","2019HU0769639","00502","34",119,"New Jersey","Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest)","two-parent",3,4,-1,-1,-1,28,30,"0","0","0","0","-9","-9","-9",0,1,0,0,60,12,52,0.5,2,NA,NA,"7:20","01",3905,21866,21885,0,0,11059,"employer",0,0,877,"employer",0,"1",1900,"house","2",1,539,718,"0","0","0",584,0,NA,NA,NA,NA,NA,NA,NA,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,1.2,10.7,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3855","2019HU0769739","02600","34",44,"New Jersey","Cape May & Atlantic (South Central) Counties--Ocean City & Somers Point City","two-parent",5,8,-1,-1,-1,36,38,"0","0","0","0","-9","-9","-9",0,1,0,0,40,8,52,0.2,0,-2.25,0.5,"7:5","01",5901,28965,28983,16614,18092,15087,"employer",0,0,576,"employer",0,"1",2100,"house","1",1,360,664,"0","0","0",479,0,NA,NA,NA,NA,40,8,52,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,0,7.6,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3856","2019HU0769900","00901","34",50,"New Jersey","Middlesex County (Southeast)","two-parent",5,8,11,-1,-1,38,38,"0","0","0","0","0","-9","-9",0,1,0,0,40,8,52,1.4,0,4.5,0.3,"9:10","01",5142,29620,29639,13921,15399,9135,"employer",0,0,506,"employer",0,"1",2300,"house","1",1,338,691,"0","0","0",539,0,NA,NA,NA,NA,25,5,52,"0","0","0","-9","-9","1","1","1","-9","-9",NA,1.2,13.6,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3857","2019HU0770209","01203","34",137,"New Jersey","Ocean County (North Central)","two-parent",13,15,17,19,21,58,62,"0","0","0","0","0","0","0",0,1,0,0,50,10,52,0.2,1.25,NA,0.1,"10:30","01",4391,21825,21844,0,0,11188,NA,0,0,512,"employer",0,"1",1900,"house","1",1,487,617,"0","0","0",689,0,NA,NA,NA,NA,40,8,52,"0","0","0","0","0","1","1","1","1","1",NA,0,8.9,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3858","2019HU0770358","00906","34",143,"New Jersey","Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs","two-parent",8,12,-1,-1,-1,54,52,"0","0","0",NA,"-9","-9","-9",0,1,0,0,40,8,52,0.7,0,NA,NA,"6:0","01",4799,0,0,0,0,12272,NA,0,0,784,"employer",0,"1",1700,"apartment","1",1,190,740,"0","0","0",651,0,NA,NA,NA,NA,NA,NA,NA,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,2.3,7.1,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3859","2019HU0770407","01902","34",98,"New Jersey","Union County (Northwest)--Summit City & Westfield Town (North)","two-parent",15,19,-1,-1,-1,48,44,"0","0","0","0","-9","-9","-9",0,1,0,0,60,12,52,1.7,2,-1.25,0.2,"6:45","03",5443,17678,17697,0,0,14745,"employer",0,0,778,"employer",0,"1",3600,"house","1",1,304,817,"0","0","0",494,0,NA,NA,NA,NA,20,4,52,"0","0","-9","-9","-9","4","4","-9","-9","-9",NA,1.1,13.7,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3860","2019HU0770585","01104","34",57,"New Jersey","Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs","two-parent",14,-1,-1,-1,-1,52,47,"1","0","0","-9","-9","-9","-9",0,1,0,0,46,9,46,0.1,0.75,-1.08,0.2,"5:55","01",4625,16032,16051,13454,14933,13643,"employer",0,0,815,"employer",815,"1",2000,"house","1",1,330,471,"0","0","0",603,1218,NA,NA,NA,NA,35,7,42,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,0.6,12.8,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3861","2019HU0770594","00305","34",33,"New Jersey","Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs","two-parent",3,6,7,-1,-1,39,41,"0","0","0","0","0","-9","-9",0,0,0,0,60,12,46,0.8,2,NA,NA,"8:35","01",6231,21618,21637,0,0,6435,"employer",0,0,447,"employer",0,"1",2500,"house","1",1,520,737,"0","0","0",511,0,NA,NA,NA,NA,NA,NA,NA,"0","0","0","-9","-9","1","1","1","-9","-9",NA,1.5,7.2,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3862","2019HU0770841","01600","34",80,"New Jersey","Sussex County","two-parent",3,-1,-1,-1,-1,35,30,"0","0","0","-9","-9","-9","-9",0,1,0,0,48,9,52,0.8,1,NA,NA,"6:35","01",4540,26985,27004,13362,14841,15936,"employer",0,0,608,"employer",0,"1",1800,"house","1",1,203,550,"0","0","0",658,0,NA,NA,NA,NA,20,4,4,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,0.5,9.9,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3863","2019HU0771037","02303","34",58,"New Jersey","Mercer County (South)","two-parent",15,-1,-1,-1,-1,57,58,"0","0","0","-9","-9","-9","-9",0,1,0,0,40,8,52,0.5,0,0.25,0.5,"7:50","01",5894,24821,24839,12772,14251,6610,"employer",0,0,892,"employer",0,"1",1900,"house","1",1,235,710,"0","0","0",563,0,NA,NA,NA,NA,40,8,52,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,1.5,11.1,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3864","2019HU0771424","01600","34",72,"New Jersey","Sussex County","two-parent",7,12,-1,-1,-1,38,38,"0","0","0","0","-9","-9","-9",0,1,0,0,40,8,52,0.3,0,NA,NA,"6:25","01",6449,23024,23043,0,0,11964,"employer",0,0,829,"employer",0,"1",1200,"house","3",1,295,733,"0","0","0",582,0,NA,NA,NA,NA,40,8,8,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,0,6.1,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3865","2019HU0771546","01503","34",156,"New Jersey","Morris County (East)--Lincoln Park Borough","two-parent",1,-1,-1,-1,-1,30,28,"0","0","0","-9","-9","-9","-9",0,0,0,0,50,10,52,0.9,1.25,-4.42,0,"7:25","01",5821,17907,17926,0,0,7629,NA,0,0,915,"employer",0,"1",0,"house","1",1,235,565,"0","0","0",604,0,NA,NA,NA,NA,2,0,25,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,0.6,8.9,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3866","2019HU0771581","02301","34",88,"New Jersey","Mercer County (West Central)--Trenton City","two-parent",2,-1,-1,-1,-1,47,52,"0","0","0","-9","-9","-9","-9",0,1,0,0,40,8,52,0.8,0,NA,NA,"7:10","01",4882,27821,0,0,0,5193,"employer",0,0,1006,"employer",0,"1",3900,"house","1",1,683,814,"0","0","0",667,0,NA,NA,NA,NA,NA,NA,NA,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,0.1,6.4,1,NA,NA,"0","0",NA,NA,NA,NA,NA
