state,year,ccdf_type,ccdf_region,ccdf_time,age_min,age_max,spr
NJ,2021,licensed_center,1,fulltime_special,2.5,4,207.47
NJ,2021,licensed_center,1,partime_special,2.5,4,103.74
NJ,2021,accredited_center,1,fulltime,2.5,4,171.53
NJ,2021,accredited_center,1,parttime,2.5,4,85.76
NJ,2021,accredited_center,1,fulltime_special,2.5,4,217.85
NJ,2021,accredited_center,1,partime_special,2.5,4,108.92
NJ,2021,registered_home,1,fulltime,2.5,4,121.6
NJ,2021,registered_home,1,parttime,2.5,4,60.8
NJ,2021,registered_home,1,fulltime_special,2.5,4,154.8
NJ,2021,registered_home,1,partime_special,2.5,4,77.4
NJ,2021,accredited_home,1,fulltime,2.5,4,127
NJ,2021,accredited_home,1,parttime,2.5,4,63.5
NJ,2021,accredited_home,1,fulltime_special,2.5,4,162.4
NJ,2021,accredited_home,1,partime_special,2.5,4,81.2
NJ,2021,approved_home,1,fulltime,2.5,4,72.6
NJ,2021,approved_home,1,parttime,2.5,4,36.3
NJ,2021,approved_home,1,fulltime_special,2.5,4,93.2
NJ,2021,approved_home,1,partime_special,2.5,4,46.6
NJ,2021,licensed_center,1,fulltime,5,13,150.15
NJ,2021,licensed_center,1,parttime,5,13,75.07
NJ,2021,licensed_center,1,fulltime_special,5,19,190.68
NJ,2021,licensed_center,1,partime_special,5,19,95.34
NJ,2021,accredited_center,1,fulltime,5,13,157.65
NJ,2021,accredited_center,1,parttime,5,13,78.83
NJ,2021,accredited_center,1,fulltime_special,5,19,200.22
NJ,2021,accredited_center,1,partime_special,5,19,100.11
NJ,2021,registered_home,1,fulltime,5,13,121.6
NJ,2021,registered_home,1,parttime,5,13,60.8
NJ,2021,registered_home,1,fulltime_special,5,19,154.8
NJ,2021,registered_home,1,partime_special,5,19,77.4
NJ,2021,accredited_home,1,fulltime,5,13,127
NJ,2021,accredited_home,1,parttime,5,13,63.5
NJ,2021,accredited_home,1,fulltime_special,5,19,162.4
NJ,2021,accredited_home,1,partime_special,5,19,81.2
NJ,2021,approved_home,1,fulltime,5,13,72.6
NJ,2021,approved_home,1,parttime,5,13,36.3
NJ,2021,approved_home,1,fulltime_special,5,19,93.2
NJ,2021,approved_home,1,partime_special,5,19,46.6
NJ,2021,licensed_center,1,Unsubsidized,0,1.4,235
NJ,2021,licensed_center,1,parttime_unsub,0,1.4,117.5
NJ,2021,licensed_center,1,fulltime_special_unsub,0,1.4,282
NJ,2021,licensed_center,1,partime_special_unsub,0,1.4,141
NJ,2021,accredited_center,1,Unsubsidized,0,1.4,246.75
NJ,2021,accredited_center,1,parttime_unsub,0,1.4,123.37
NJ,2021,accredited_center,1,fulltime_special_unsub,0,1.4,296.1
NJ,2021,accredited_center,1,partime_special_unsub,0,1.4,148.05
NJ,2021,registered_home,1,Unsubsidized,0,1.4,153.79
NJ,2021,registered_home,1,parttime_unsub,0,1.4,76.89
NJ,2021,registered_home,1,fulltime_special_unsub,0,1.4,186.77
NJ,2021,registered_home,1,partime_special_unsub,0,1.4,93.39
NJ,2021,accredited_home,1,Unsubsidized,0,1.4,161.34
NJ,2021,accredited_home,1,parttime_unsub,0,1.4,80.67
NJ,2021,accredited_home,1,fulltime_special_unsub,0,1.4,196.51
NJ,2021,accredited_home,1,partime_special_unsub,0,1.4,98.25
NJ,2021,approved_home,1,Unsubsidized,0,1.4,92.59
NJ,2021,approved_home,1,parttime_unsub,0,1.4,46.3
NJ,2021,approved_home,1,fulltime_special_unsub,0,1.4,111.86
NJ,2021,approved_home,1,partime_special_unsub,0,1.4,55.93
NJ,2021,licensed_center,2,Unsubsidized,0,1.4,349
NJ,2021,licensed_center,2,parttime_unsub,0,1.4,174.5
NJ,2021,licensed_center,2,fulltime_special_unsub,0,1.4,418.8
